split,workflow_count,num_nodes_mean,num_nodes_std,num_nodes_min,num_nodes_max,num_edges_mean,num_edges_std,num_edges_min,num_edges_max,depth_mean,depth_std,depth_min,depth_max,width_mean,width_std,width_min,width_max,edge_density_mean,edge_density_std,edge_density_min,edge_density_max,total_work_mean,total_work_std,total_work_min,total_work_max,critical_path_estimate_mean,critical_path_estimate_std,critical_path_estimate_min,critical_path_estimate_max,cp_ratio_mean,cp_ratio_std,cp_ratio_min,cp_ratio_max
train,2136,10.070224719101123,7.4401314088000445,5.0,97.0,10.6811797752809,19.70795533476378,0.0,463.0,4.589887640449438,2.8042187964808276,1.0,33.0,5.08567415730337,4.170484484762743,1.0,42.0,0.11450450612196866,0.06579414630114314,0.0,0.3,296.7666198501873,407.8743331393788,5.0,5585.5,195.24461610486892,248.2350648939907,2.0,3190.0,0.6703012019637304,0.22723438647548302,0.05829596412556054,1.0
val,470,9.659574468085106,4.224430445028068,5.0,44.0,9.61063829787234,8.203235844225135,0.0,61.0,4.378723404255319,1.8705939630391797,1.0,15.0,5.453191489361702,3.8786020218866084,1.0,44.0,0.11384332511539647,0.056637053793877186,0.0,0.3,227.7808510638298,253.41186275805978,8.0,2332.5,169.27021276595744,204.78243349996478,3.0,2288.5,0.7394518058728389,0.1828446744762978,0.05714285714285714,1.0
test,297,9.441077441077441,4.527959848313838,5.0,44.0,8.855218855218855,10.659526399731861,0.0,132.0,4.383838383838384,2.0987750349384493,1.0,22.0,5.34006734006734,3.6985087533805188,1.0,44.0,0.10668572736211861,0.054282201146941676,0.0,0.25,249.40404040404042,260.1625561193823,6.0,2213.0,180.04882154882154,175.09114069282975,3.0,1723.0,0.7389871061692783,0.17320419685556313,0.05581395348837209,1.0
benchmark,136,8.580882352941176,3.624985085281333,5.0,23.0,6.845588235294118,6.863028267967459,0.0,36.0,4.625,2.3166199388713875,1.0,12.0,4.382352941176471,2.3074649431070062,1.0,12.0,0.09820793638728421,0.05577394750265763,0.0,0.23333333333333334,180.9889705882353,141.84232218786534,7.0,1079.0,138.78676470588235,120.46362082584953,3.0,756.0,0.7115077243142386,0.19838298334464874,0.12903225806451613,1.0
