split,workflow_id,num_nodes,num_edges,depth,width,edge_density,total_work,critical_path_estimate,cp_ratio
train,job_763,5,4,4.0,2.0,0.2,19.0,16.0,0.8421052631578947
train,job_764,5,3,3.0,2.0,0.15,54.0,32.0,0.5925925925925926
train,job_766,5,6,3.0,2.0,0.3,14.0,10.0,0.7142857142857143
train,job_765,5,3,3.0,2.0,0.15,51.5,30.0,0.5825242718446602
train,job_768,5,3,3.0,2.0,0.15,21.0,14.0,0.6666666666666666
train,job_767,5,3,3.0,2.0,0.15,66.0,37.0,0.5606060606060606
train,job_3467,13,0,1.0,13.0,0.0,356.0,77.0,0.21629213483146068
train,job_769,5,3,3.0,2.0,0.15,86.0,58.0,0.6744186046511628
train,job_770,5,3,3.0,2.0,0.15,42.0,23.0,0.5476190476190477
train,job_12310,27,29,6.0,9.0,0.04131054131054131,3486.0,1606.0,0.46069994262765346
train,job_771,5,3,3.0,2.0,0.15,60.0,33.0,0.55
train,job_6338,6,5,3.0,4.0,0.16666666666666666,34.5,31.5,0.9130434782608695
train,job_2134,5,3,4.0,2.0,0.15,373.0,367.0,0.9839142091152815
train,job_772,5,6,3.0,2.0,0.3,17.0,13.0,0.7647058823529411
train,job_10237,5,4,4.0,2.0,0.2,362.5,357.5,0.9862068965517241
train,job_7061,11,3,4.0,8.0,0.02727272727272727,425.5,185.5,0.43595769682726204
train,job_10185,6,4,4.0,2.0,0.13333333333333333,52.0,32.0,0.6153846153846154
train,job_773,5,6,3.0,2.0,0.3,46.0,32.0,0.6956521739130435
train,job_774,5,4,4.0,2.0,0.2,17.0,14.0,0.8235294117647058
train,job_9526,7,5,5.0,2.0,0.11904761904761904,142.0,111.0,0.7816901408450704
train,job_775,5,4,4.0,2.0,0.2,46.5,31.5,0.6774193548387096
train,job_5003,7,9,4.0,3.0,0.21428571428571427,47.5,29.5,0.6210526315789474
train,job_776,5,4,4.0,2.0,0.2,21.0,18.0,0.8571428571428571
train,job_9487,6,5,4.0,3.0,0.16666666666666666,260.5,182.0,0.6986564299424184
train,job_5143,6,5,4.0,3.0,0.16666666666666666,188.0,167.0,0.8882978723404256
train,job_1425,5,2,3.0,3.0,0.1,192.5,154.5,0.8025974025974026
train,job_5145,5,4,3.0,3.0,0.2,209.5,101.5,0.48448687350835323
train,job_2328,5,0,1.0,5.0,0.0,22.0,6.0,0.2727272727272727
train,job_12389,6,5,4.0,3.0,0.16666666666666666,97.0,95.0,0.979381443298969
train,job_5039,7,6,6.0,2.0,0.14285714285714285,214.0,148.0,0.6915887850467289
train,job_2329,10,0,1.0,10.0,0.0,22.0,4.0,0.18181818181818182
train,job_7065,55,153,20.0,13.0,0.051515151515151514,585.5,192.0,0.32792485055508114
train,job_12709,5,0,1.0,5.0,0.0,41.0,14.0,0.34146341463414637
train,job_12712,5,0,1.0,5.0,0.0,40.0,13.0,0.325
train,job_2331,6,0,1.0,6.0,0.0,10.0,2.0,0.2
train,job_11332,10,0,1.0,10.0,0.0,359.0,110.0,0.3064066852367688
train,job_11769,23,0,1.0,23.0,0.0,169.5,35.0,0.20648967551622419
train,job_777,5,4,4.0,2.0,0.2,13.5,11.5,0.8518518518518519
train,job_9528,7,5,6.0,2.0,0.11904761904761904,148.5,114.5,0.7710437710437711
train,job_778,5,3,3.0,2.0,0.15,42.0,24.0,0.5714285714285714
train,job_3480,5,4,4.0,2.0,0.2,5.0,4.0,0.8
train,job_779,5,3,3.0,2.0,0.15,48.0,27.0,0.5625
train,job_780,5,5,3.0,2.0,0.25,20.0,15.0,0.75
train,job_5127,5,4,5.0,1.0,0.2,40.5,40.5,1.0
train,job_3482,5,0,1.0,5.0,0.0,82.0,45.0,0.5487804878048781
train,job_3477,6,4,4.0,3.0,0.13333333333333333,245.0,177.0,0.7224489795918367
train,job_12921,6,7,3.0,3.0,0.23333333333333334,94.0,54.0,0.574468085106383
train,job_6341,9,16,4.0,4.0,0.2222222222222222,198.5,187.5,0.9445843828715366
train,job_2179,18,0,1.0,18.0,0.0,182.0,17.0,0.09340659340659341
train,job_781,5,6,3.0,2.0,0.3,18.0,14.0,0.7777777777777778
train,job_7073,14,15,4.0,6.0,0.08241758241758242,291.0,108.5,0.37285223367697595
train,job_3484,6,0,1.0,6.0,0.0,206.0,187.0,0.9077669902912622
train,job_782,5,3,3.0,2.0,0.15,58.5,35.0,0.5982905982905983
train,job_783,5,3,3.0,2.0,0.15,93.0,47.0,0.5053763440860215
train,job_784,5,4,4.0,2.0,0.2,18.0,15.0,0.8333333333333334
train,job_2336,19,34,8.0,7.0,0.09941520467836257,37.5,16.5,0.44
train,job_785,5,6,3.0,2.0,0.3,49.0,32.0,0.6530612244897959
train,job_2334,18,23,7.0,11.0,0.07516339869281045,48.0,24.0,0.5
train,job_3486,5,0,1.0,5.0,0.0,81.0,43.0,0.5308641975308642
train,job_6174,10,14,5.0,5.0,0.15555555555555556,90.0,82.0,0.9111111111111111
train,job_3166,8,9,4.0,4.0,0.16071428571428573,54.5,28.5,0.5229357798165137
train,job_786,5,6,3.0,2.0,0.3,13.0,10.0,0.7692307692307693
train,job_3169,7,4,3.0,5.0,0.09523809523809523,138.0,69.0,0.5
train,job_12313,13,10,6.0,5.0,0.0641025641025641,1955.0,1229.5,0.6289002557544757
train,job_787,5,4,4.0,2.0,0.2,49.5,35.5,0.7171717171717171
train,job_12714,5,0,1.0,5.0,0.0,36.0,11.0,0.3055555555555556
train,job_519,5,4,4.0,2.0,0.2,557.0,385.0,0.6912028725314183
train,job_788,5,6,3.0,2.0,0.3,22.5,17.0,0.7555555555555555
train,job_5992,5,2,3.0,3.0,0.1,190.5,120.0,0.6299212598425197
train,job_789,5,4,4.0,2.0,0.2,23.0,19.0,0.8260869565217391
train,job_790,5,3,3.0,2.0,0.15,26.0,17.0,0.6538461538461539
train,job_5402,7,7,5.0,2.0,0.16666666666666666,113.5,111.5,0.9823788546255506
train,job_3497,8,7,5.0,4.0,0.125,58.0,26.0,0.4482758620689655
train,job_5033,83,143,33.0,9.0,0.02101087275933,5248.0,1535.0,0.2924923780487805
train,job_791,5,3,3.0,2.0,0.15,95.0,61.0,0.6421052631578947
train,job_5022,13,14,7.0,6.0,0.08974358974358974,262.5,124.0,0.4723809523809524
train,job_792,5,5,3.0,2.0,0.25,19.0,13.0,0.6842105263157895
train,job_1432,8,9,6.0,3.0,0.16071428571428573,48.5,44.5,0.9175257731958762
train,job_10518,6,5,5.0,2.0,0.16666666666666666,33.0,29.5,0.8939393939393939
train,job_10520,5,4,4.0,2.0,0.2,30.0,28.0,0.9333333333333333
train,job_1434,9,9,4.0,3.0,0.125,878.0,529.0,0.60250569476082
train,job_10521,6,5,5.0,2.0,0.16666666666666666,31.0,29.0,0.9354838709677419
train,job_2338,18,26,8.0,10.0,0.08496732026143791,39.5,16.5,0.4177215189873418
train,job_3496,6,5,4.0,3.0,0.16666666666666666,329.0,221.5,0.6732522796352584
train,job_9538,6,5,3.0,4.0,0.16666666666666666,184.0,88.0,0.4782608695652174
train,job_10519,6,5,5.0,2.0,0.16666666666666666,32.5,30.5,0.9384615384615385
train,job_10528,6,5,5.0,2.0,0.16666666666666666,35.0,33.0,0.9428571428571428
train,job_9721,8,7,5.0,4.0,0.125,64.0,59.0,0.921875
train,job_795,5,3,3.0,2.0,0.15,58.0,34.0,0.5862068965517241
train,job_10522,6,5,5.0,2.0,0.16666666666666666,38.0,34.0,0.8947368421052632
train,job_794,5,5,3.0,2.0,0.25,22.5,16.0,0.7111111111111111
train,job_5996,19,10,4.0,15.0,0.029239766081871343,635.0,179.0,0.28188976377952757
train,job_455,5,4,5.0,1.0,0.2,434.0,434.0,1.0
train,job_10516,6,5,5.0,2.0,0.16666666666666666,38.5,35.0,0.9090909090909091
train,job_10529,8,8,5.0,2.0,0.14285714285714285,45.0,38.0,0.8444444444444444
train,job_9353,7,7,4.0,3.0,0.16666666666666666,8.0,5.0,0.625
train,job_2340,5,0,1.0,5.0,0.0,21.0,7.0,0.3333333333333333
train,job_10177,6,4,4.0,3.0,0.13333333333333333,291.0,233.0,0.8006872852233677
train,job_796,5,6,3.0,2.0,0.3,22.0,17.0,0.7727272727272727
train,job_10527,5,4,4.0,2.0,0.2,33.0,31.0,0.9393939393939394
train,job_2341,10,0,1.0,10.0,0.0,24.0,4.0,0.16666666666666666
train,job_5026,5,4,3.0,3.0,0.2,77.5,42.0,0.5419354838709678
train,job_9378,13,11,8.0,5.0,0.07051282051282051,681.5,403.5,0.5920763022743947
train,job_2343,6,0,1.0,6.0,0.0,28.0,6.0,0.21428571428571427
train,job_5999,13,13,8.0,4.0,0.08333333333333333,283.5,106.5,0.37566137566137564
train,job_6268,15,17,6.0,5.0,0.08095238095238096,255.0,209.0,0.8196078431372549
train,job_9548,7,4,4.0,4.0,0.09523809523809523,297.5,180.0,0.6050420168067226
train,job_793,5,3,3.0,2.0,0.15,70.0,38.0,0.5428571428571428
train,job_10517,13,14,8.0,3.0,0.08974358974358974,25.5,17.5,0.6862745098039216
train,job_10526,10,12,5.0,3.0,0.13333333333333333,22.5,16.5,0.7333333333333333
train,job_10523,10,9,5.0,3.0,0.1,21.0,15.0,0.7142857142857143
train,job_5855,5,4,4.0,2.0,0.2,9.0,7.0,0.7777777777777778
train,job_10524,13,15,6.0,3.0,0.09615384615384616,24.0,15.0,0.625
train,job_10525,12,10,8.0,4.0,0.07575757575757576,21.0,15.5,0.7380952380952381
train,job_1147,9,0,1.0,9.0,0.0,26.0,6.0,0.23076923076923078
train,job_797,5,5,3.0,2.0,0.25,21.0,15.0,0.7142857142857143
train,job_798,5,5,3.0,2.0,0.25,47.0,31.0,0.6595744680851063
train,job_1148,19,33,9.0,4.0,0.09649122807017543,240.0,162.0,0.675
train,job_3502,5,0,1.0,5.0,0.0,87.0,47.0,0.5402298850574713
train,job_7075,6,0,1.0,6.0,0.0,610.5,269.0,0.4406224406224406
train,job_1758,6,5,4.0,2.0,0.16666666666666666,285.0,198.0,0.6947368421052632
train,job_799,5,4,4.0,2.0,0.2,22.5,18.5,0.8222222222222222
train,job_800,5,3,3.0,2.0,0.15,61.0,38.0,0.6229508196721312
train,job_801,5,3,3.0,2.0,0.15,66.0,37.0,0.5606060606060606
train,job_802,5,4,4.0,2.0,0.2,102.0,55.0,0.5392156862745098
train,job_804,5,6,3.0,2.0,0.3,21.5,16.0,0.7441860465116279
train,job_803,5,4,4.0,2.0,0.2,23.0,19.0,0.8260869565217391
train,job_805,5,3,3.0,2.0,0.15,59.0,37.0,0.6271186440677966
train,job_1697,12,7,4.0,6.0,0.05303030303030303,594.5,247.0,0.415475189234651
train,job_807,5,3,3.0,2.0,0.15,53.0,31.0,0.5849056603773585
train,job_806,5,3,3.0,2.0,0.15,28.0,18.0,0.6428571428571429
train,job_2348,10,11,6.0,4.0,0.12222222222222222,243.0,134.0,0.551440329218107
train,job_946,9,0,1.0,9.0,0.0,153.0,34.0,0.2222222222222222
train,job_1696,6,3,4.0,3.0,0.1,249.0,214.0,0.8594377510040161
train,job_2349,5,0,1.0,5.0,0.0,19.0,7.0,0.3684210526315789
train,job_6274,14,21,4.0,8.0,0.11538461538461539,286.5,254.0,0.8865619546247818
train,job_10310,6,4,4.0,2.0,0.13333333333333333,198.0,164.0,0.8282828282828283
train,job_2350,10,0,1.0,10.0,0.0,21.0,4.0,0.19047619047619047
train,job_2352,6,0,1.0,6.0,0.0,14.0,3.0,0.21428571428571427
train,job_12900,6,6,5.0,2.0,0.2,70.0,69.0,0.9857142857142858
train,job_9497,10,4,4.0,7.0,0.044444444444444446,610.0,284.0,0.46557377049180326
train,job_2354,19,34,9.0,7.0,0.09941520467836257,47.0,21.0,0.44680851063829785
train,job_573,21,10,7.0,12.0,0.023809523809523808,2674.5,1144.0,0.4277435034585904
train,job_5856,5,3,4.0,2.0,0.15,8.0,6.0,0.75
train,job_808,5,6,3.0,2.0,0.3,52.0,35.0,0.6730769230769231
train,job_809,5,4,4.0,2.0,0.2,27.5,20.5,0.7454545454545455
train,job_6176,7,9,4.0,4.0,0.21428571428571427,11.0,8.0,0.7272727272727273
train,job_2357,9,12,5.0,3.0,0.16666666666666666,307.0,161.0,0.5244299674267101
train,job_2359,19,25,8.0,8.0,0.07309941520467836,34.5,12.5,0.36231884057971014
train,job_810,5,4,4.0,2.0,0.2,29.0,24.0,0.8275862068965517
train,job_811,5,3,3.0,2.0,0.15,81.5,42.5,0.5214723926380368
train,job_812,5,6,3.0,2.0,0.3,27.0,20.0,0.7407407407407407
train,job_10903,10,13,6.0,3.0,0.14444444444444443,98.0,88.0,0.8979591836734694
train,job_813,5,4,3.0,2.0,0.2,34.0,22.0,0.6470588235294118
train,job_10560,6,5,5.0,2.0,0.16666666666666666,1670.0,1598.0,0.9568862275449102
train,job_2182,6,7,3.0,3.0,0.23333333333333334,16.5,13.5,0.8181818181818182
train,job_2180,5,4,5.0,1.0,0.2,71.0,71.0,1.0
train,job_814,5,3,3.0,2.0,0.15,97.0,51.0,0.5257731958762887
train,job_9732,10,13,6.0,4.0,0.14444444444444443,12.0,8.0,0.6666666666666666
train,job_9731,29,38,18.0,6.0,0.046798029556650245,341.0,238.0,0.6979472140762464
train,job_5412,6,5,5.0,2.0,0.16666666666666666,572.0,571.0,0.9982517482517482
train,job_12721,5,0,1.0,5.0,0.0,30.0,9.0,0.3
train,job_2138,9,6,3.0,5.0,0.08333333333333333,635.5,451.5,0.7104642014162077
train,job_9642,7,6,7.0,1.0,0.14285714285714285,164.0,164.0,1.0
train,job_11840,26,44,5.0,8.0,0.06769230769230769,880.5,418.5,0.4752981260647359
train,job_2364,19,30,8.0,8.0,0.08771929824561403,41.0,13.0,0.3170731707317073
train,job_2184,6,5,4.0,3.0,0.16666666666666666,49.0,47.0,0.9591836734693877
train,job_9413,5,4,5.0,1.0,0.2,410.0,410.0,1.0
train,job_2368,6,0,1.0,6.0,0.0,17.0,4.0,0.23529411764705882
train,job_2367,10,0,1.0,10.0,0.0,29.0,5.0,0.1724137931034483
train,job_2369,12,0,1.0,12.0,0.0,59.0,8.0,0.13559322033898305
train,job_1444,6,5,5.0,2.0,0.16666666666666666,293.0,235.0,0.8020477815699659
train,job_7079,11,7,4.0,7.0,0.06363636363636363,573.5,181.0,0.3156059285091543
train,job_181,8,5,3.0,3.0,0.08928571428571429,909.5,673.0,0.7399670148433205
train,job_11761,16,29,8.0,6.0,0.12083333333333333,71.5,26.0,0.36363636363636365
train,job_2140,10,11,4.0,4.0,0.12222222222222222,383.0,327.0,0.8537859007832899
train,job_12923,10,15,6.0,4.0,0.16666666666666666,79.0,75.0,0.9493670886075949
train,job_10272,5,3,3.0,3.0,0.15,189.0,117.0,0.6190476190476191
train,job_10515,8,4,4.0,4.0,0.07142857142857142,936.0,645.0,0.6891025641025641
train,job_5658,42,94,20.0,7.0,0.0545876887340302,815.5,482.5,0.5916615573267934
train,job_5128,6,5,5.0,2.0,0.16666666666666666,49.0,48.0,0.9795918367346939
train,job_815,5,4,4.0,2.0,0.2,33.0,25.0,0.7575757575757576
train,job_816,5,5,3.0,2.0,0.25,30.0,20.0,0.6666666666666666
train,job_817,5,6,3.0,2.0,0.3,24.0,15.0,0.625
train,job_818,5,4,4.0,2.0,0.2,25.5,19.5,0.7647058823529411
train,job_823,5,6,3.0,2.0,0.3,24.0,18.0,0.75
train,job_819,5,3,3.0,2.0,0.15,29.0,19.0,0.6551724137931034
train,job_821,5,3,3.0,2.0,0.15,30.0,21.0,0.7
train,job_820,5,3,3.0,2.0,0.15,61.0,35.0,0.5737704918032787
train,job_822,5,3,3.0,2.0,0.15,74.0,43.0,0.581081081081081
train,job_824,5,3,3.0,2.0,0.15,88.0,48.0,0.5454545454545454
train,job_825,5,5,3.0,2.0,0.25,42.0,22.0,0.5238095238095238
train,job_9565,92,463,6.0,35.0,0.055303392259914,675.0,528.0,0.7822222222222223
train,job_826,5,3,3.0,2.0,0.15,55.0,34.0,0.6181818181818182
train,job_6886,8,5,3.0,6.0,0.08928571428571429,730.5,462.5,0.6331279945242985
train,job_10687,5,3,4.0,2.0,0.15,174.0,132.0,0.7586206896551724
train,job_2145,6,3,3.0,3.0,0.1,1278.5,590.0,0.46147829487680875
train,job_6179,10,14,5.0,5.0,0.15555555555555556,90.0,82.0,0.9111111111111111
train,job_6352,30,33,16.0,14.0,0.03793103448275862,101.0,30.0,0.297029702970297
train,job_827,5,4,4.0,2.0,0.2,119.0,68.0,0.5714285714285714
train,job_4994,8,7,6.0,3.0,0.125,24.0,17.0,0.7083333333333334
train,job_1968,6,2,3.0,4.0,0.06666666666666667,395.5,148.5,0.3754740834386852
train,job_828,5,3,3.0,2.0,0.15,94.0,58.0,0.6170212765957447
train,job_829,5,3,3.0,2.0,0.15,72.5,41.5,0.5724137931034483
train,job_2372,5,4,2.0,4.0,0.2,260.5,249.5,0.9577735124760077
train,job_11276,5,5,3.0,2.0,0.25,235.5,155.5,0.6602972399150743
train,job_11278,6,5,5.0,2.0,0.16666666666666666,516.5,481.5,0.9322362052274927
train,job_9568,28,50,14.0,6.0,0.06613756613756613,75.0,37.0,0.49333333333333335
train,job_10692,10,8,6.0,3.0,0.08888888888888889,272.0,216.0,0.7941176470588235
train,job_10697,9,7,5.0,3.0,0.09722222222222222,239.0,182.0,0.7615062761506276
train,job_12395,16,19,7.0,6.0,0.07916666666666666,75.0,40.0,0.5333333333333333
train,job_9733,24,43,10.0,10.0,0.07789855072463768,198.0,102.0,0.5151515151515151
train,job_2384,13,17,7.0,6.0,0.10897435897435898,33.5,13.5,0.40298507462686567
train,job_1966,6,2,3.0,4.0,0.06666666666666667,291.0,170.0,0.584192439862543
train,job_2377,12,11,5.0,8.0,0.08333333333333333,29.0,11.0,0.3793103448275862
train,job_2379,13,20,6.0,5.0,0.1282051282051282,38.0,12.0,0.3157894736842105
train,job_2381,13,16,6.0,5.0,0.10256410256410256,36.0,18.0,0.5
train,job_2382,12,14,6.0,4.0,0.10606060606060606,27.0,12.0,0.4444444444444444
train,job_2386,13,16,6.0,6.0,0.10256410256410256,30.0,12.0,0.4
train,job_9737,27,31,13.0,12.0,0.04415954415954416,112.0,97.0,0.8660714285714286
train,job_9734,24,48,9.0,10.0,0.08695652173913043,211.0,109.0,0.5165876777251185
train,job_10563,9,11,6.0,4.0,0.1527777777777778,476.0,290.0,0.6092436974789915
train,job_12397,5,4,4.0,2.0,0.2,71.0,70.0,0.9859154929577465
train,job_2389,10,0,1.0,10.0,0.0,29.0,5.0,0.1724137931034483
train,job_2390,12,0,1.0,12.0,0.0,52.5,7.0,0.13333333333333333
train,job_2391,6,0,1.0,6.0,0.0,24.0,6.0,0.25
train,job_9736,51,155,13.0,13.0,0.060784313725490195,323.0,90.0,0.2786377708978328
train,job_2392,19,18,6.0,14.0,0.05263157894736842,40.0,14.0,0.35
train,job_2394,13,14,7.0,5.0,0.08974358974358974,48.5,19.0,0.3917525773195876
train,job_5420,8,10,4.0,3.0,0.17857142857142858,421.5,262.5,0.6227758007117438
train,job_5423,5,4,5.0,1.0,0.2,232.5,232.5,1.0
train,job_831,5,4,4.0,2.0,0.2,22.0,17.0,0.7727272727272727
train,job_832,5,4,4.0,2.0,0.2,28.0,21.0,0.75
train,job_833,5,4,4.0,2.0,0.2,17.0,13.0,0.7647058823529411
train,job_2397,5,4,4.0,2.0,0.2,61.5,47.5,0.7723577235772358
train,job_834,5,5,3.0,2.0,0.25,22.0,14.0,0.6363636363636364
train,job_835,5,5,3.0,2.0,0.25,42.0,22.0,0.5238095238095238
train,job_836,5,4,4.0,2.0,0.2,25.0,18.0,0.72
train,job_9575,14,0,1.0,14.0,0.0,168.0,47.0,0.27976190476190477
train,job_837,5,3,3.0,2.0,0.15,336.0,240.0,0.7142857142857143
train,job_2400,9,8,6.0,3.0,0.1111111111111111,243.5,180.0,0.7392197125256673
train,job_7,10,6,4.0,5.0,0.06666666666666667,1849.5,1399.5,0.7566909975669099
train,job_1598,6,4,5.0,2.0,0.13333333333333333,227.5,226.5,0.9956043956043956
train,job_2403,7,10,3.0,4.0,0.23809523809523808,323.5,185.5,0.5734157650695518
train,job_5001,8,6,4.0,3.0,0.10714285714285714,16.0,11.0,0.6875
train,job_9577,25,32,9.0,6.0,0.05333333333333334,516.5,217.5,0.42110358180058083
train,job_2404,30,44,14.0,11.0,0.05057471264367816,749.5,309.0,0.4122748498999333
train,job_2406,7,5,5.0,3.0,0.11904761904761904,916.5,679.5,0.7414075286415712
train,job_2189,12,11,6.0,7.0,0.08333333333333333,332.5,291.5,0.8766917293233083
train,job_2407,19,18,7.0,13.0,0.05263157894736842,47.0,15.5,0.32978723404255317
train,job_2409,13,14,6.0,6.0,0.08974358974358974,42.0,14.0,0.3333333333333333
train,job_2412,10,0,1.0,10.0,0.0,25.0,4.0,0.16
train,job_2414,12,0,1.0,12.0,0.0,54.0,7.0,0.12962962962962962
train,job_840,5,4,4.0,2.0,0.2,29.0,22.0,0.7586206896551724
train,job_838,5,3,3.0,2.0,0.15,64.0,39.0,0.609375
train,job_839,5,3,3.0,2.0,0.15,125.0,72.0,0.576
train,job_3526,5,3,3.0,2.0,0.15,224.5,189.5,0.844097995545657
train,job_1450,6,4,3.0,2.0,0.13333333333333333,318.0,269.0,0.8459119496855346
train,job_3527,8,0,1.0,8.0,0.0,149.0,62.0,0.4161073825503356
train,job_2193,6,0,1.0,6.0,0.0,21.0,9.0,0.42857142857142855
train,job_11129,6,4,5.0,2.0,0.13333333333333333,82.5,79.5,0.9636363636363636
train,job_11774,23,0,1.0,23.0,0.0,163.5,34.0,0.20795107033639143
train,job_1151,19,23,11.0,4.0,0.06725146198830409,229.5,143.5,0.6252723311546841
train,job_841,5,5,3.0,2.0,0.25,25.0,16.0,0.64
train,job_182,8,6,5.0,3.0,0.10714285714285714,797.5,438.0,0.5492163009404388
train,job_12399,22,48,8.0,8.0,0.1038961038961039,179.0,128.0,0.7150837988826816
train,job_12926,6,6,4.0,2.0,0.2,117.0,69.0,0.5897435897435898
train,job_5129,6,5,5.0,2.0,0.16666666666666666,45.0,44.0,0.9777777777777777
train,job_3531,9,0,1.0,9.0,0.0,227.0,70.0,0.30837004405286345
train,job_2417,19,24,5.0,7.0,0.07017543859649122,625.0,146.0,0.2336
