active_server_utilization,avg_cpu_utilization,avg_gpu_utilization,deadline_miss_rate,defer_count,energy_idle_active,group_energy_active_total,group_id,group_makespan,group_size,method,migration_count,num_tasks,peak_active_power,power_envelope_violation,server_activated_count,total_active_window_time,total_cpu_active_capacity_time,total_cpu_busy_capacity_time,total_gpu_active_capacity_time,total_gpu_busy_capacity_time,total_task_busy_time,workflow_ids
0.6734183846220976,0.1775428193869409,0.19411638597032158,0.0,0.0,79091.32519932411,123032.44699339553,group_000,20.114782604100743,5.0,PCEA-PPO,0.0,41.0,10427.950880286806,0.0015724489387642113,9.0,181.0330434369067,9976.93217163397,1771.3326665841698,724.1321737476269,140.56592053272232,121.91097967450372,"job_10302,job_11225,job_11820,job_1195,job_11957"
0.45965796635201495,0.1139557285133419,0.256369942961468,0.0,0.0,252283.05564883232,355048.548869458,group_001,129.2096213032609,5.0,PCEA-PPO,0.0,47.0,6826.1660833333335,0.0,4.0,508.38135537584293,26334.344921497424,3000.9494604508645,2516.5353873676127,645.1640337199506,233.68153994334097,"job_1196,job_12030,job_12669,job_12674,job_12675"
0.6247295165490655,0.16953524272275988,0.22334746735116903,0.0,0.0,68314.57844163451,114339.21502502298,group_002,21.83969899029236,5.0,PCEA-PPO,0.0,47.0,8486.3585934375,0.00018524609470599144,7.0,152.8778929320465,8037.009228427588,1362.5563103065322,524.1527757670166,117.06819497264836,95.50733214247721,"job_12680,job_12681,job_12683,job_12686,job_12688"
1.0144390046294516,0.233767607113251,0.1793678637786549,0.0,0.0,31993.719628159794,47271.63902947466,group_003,11.653888838232259,5.0,PCEA-PPO,0.0,34.0,7065.579236413195,0.0,6.0,68.96121078623668,3481.2063832605663,813.7932860821976,271.9963541723191,48.78740500347131,69.95694202803173,"job_12690,job_12692,job_12882,job_12887,job_12890"
0.5049085638418823,0.11556252634905093,0.267266894494384,0.0,3.0,255450.4766682608,413663.2965222025,group_004,71.59366673288876,5.0,PCEA-PPO,0.0,36.0,10825.207499963888,0.007485273145507379,8.0,570.0321317145089,30754.563091097465,3554.0750075685,2555.634385195185,683.0364655941814,287.8141049676994,"job_12951,job_175,job_1822,job_3081,job_3083"
0.7374977745571777,0.15189781683157824,0.19265077338445558,0.0,0.0,131310.60245155735,174440.34334928426,group_005,33.297044738626646,5.0,PCEA-PPO,0.0,57.0,10718.8842721467,0.0027918626908666148,9.0,297.55863423276173,16379.989011806616,2488.0845706186656,1323.4227158855533,254.95840972990848,219.448830546935,"job_3086,job_3093,job_3094,job_3099,job_3104"
0.7581884861646045,0.2018378771078529,0.10566637423378493,0.0,0.0,68973.68257544888,94944.10784895463,group_006,15.71870614754988,5.0,PCEA-PPO,0.0,69.0,10421.83358155625,0.0014719581004641034,10.0,157.1870614754988,8802.475442627932,1776.6729566340296,754.4978950823943,79.72505694037928,119.17742018477107,"job_3105,job_3120,job_3127,job_3129,job_3135"
0.8445063121762783,0.1404633867206526,0.21894003968962544,0.0,0.0,170597.91321903153,227476.17358218995,group_007,43.38705829578624,5.0,PCEA-PPO,0.0,65.0,10916.474799118749,0.0013577406482272784,9.0,390.48352466207615,21519.980914709973,3022.76940144397,1561.9340986483046,341.96991355063915,329.76580137796475,"job_3137,job_3147,job_3149,job_3153,job_3315"
0.5155529784174188,0.13083705744455637,0.36776600113625374,0.0,14.0,268191.5458160531,495990.15434772195,group_008,117.03164682884581,5.0,PCEA-PPO,0.0,32.0,7261.784527544445,0.0,5.0,560.5302016761341,28383.907510226447,3713.6669374164726,2377.671970489848,874.426912600808,288.9830149670473,"job_3779,job_3782,job_4796,job_4798,job_4809"
0.5481505095792965,0.12062219800918683,0.34310570911397226,0.0,14.0,283953.9302175813,503251.29771551484,group_009,120.11701186558317,5.0,PCEA-PPO,0.0,44.0,7462.622666666667,5.879336539707022e-07,5.0,596.0027783219477,30456.689053207334,3673.752777680208,2605.916012995085,894.1046615301341,326.69922664785213,"job_4811,job_4813,job_4816,job_4819,job_4821"
