group_size,HEFT_energy,PCEA_PPO_energy,PCEA_AER_energy,PCEA_AER_vs_HEFT_pct,PCEA_AER_vs_PCEA_PPO_pct,HEFT_makespan,PCEA_AER_makespan,HEFT_deadline_miss_rate,PCEA_AER_deadline_miss_rate,HEFT_peak_active_power,PCEA_AER_peak_active_power,HEFT_active_server_utilization,PCEA_AER_active_server_utilization,active_server_utilization_delta,PCEA_AER_server_activated_count,PCEA_AER_migration_count
1,70037.56898536414,70008.88563824474,68951.02516774986,-1.5513728322599758,-1.511037435963684,30.60977000827476,30.52448201227024,0.0,0.0,3397.382046507368,3314.2230580972323,1.0208563948068747,1.0336436591182616,0.012787264311386881,2.088235294117647,0.19852941176470587
5,484057.08244785375,411597.1731250674,397300.3126300282,-17.922838641075284,-3.4735079413907877,97.10059173618944,101.9211811068907,0.0,0.0,9996.100777334166,7976.378694233372,0.6632149966667104,0.7763264167905796,0.11311142012386921,5.62962962962963,5.777777777777778
10,1090935.665554131,856150.2032182018,775485.4712072734,-28.91556342936386,-9.421796748714875,152.5839023327526,104.67523272410712,0.0,0.0,14256.46281963539,12001.418820143252,0.5562190244030651,0.8707199926006297,0.31450096819756457,10.615384615384615,15.923076923076923
