active_server_utilization_mean,active_server_utilization_std,avg_cpu_utilization_mean,avg_cpu_utilization_std,avg_gpu_utilization_mean,avg_gpu_utilization_std,deadline_miss_rate_mean,deadline_miss_rate_std,defer_count_mean,defer_count_std,energy_idle_active_mean,energy_idle_active_std,group_energy_active_total_mean,group_energy_active_total_std,group_makespan_mean,group_makespan_std,group_size_mean,group_size_std,method,migration_count_mean,migration_count_std,num_tasks_mean,num_tasks_std,peak_active_power_mean,peak_active_power_std,power_envelope_violation_mean,power_envelope_violation_std,server_activated_count_mean,server_activated_count_std,total_active_window_time_mean,total_active_window_time_std,total_cpu_active_capacity_time_mean,total_cpu_active_capacity_time_std,total_cpu_busy_capacity_time_mean,total_cpu_busy_capacity_time_std,total_gpu_active_capacity_time_mean,total_gpu_active_capacity_time_std,total_gpu_busy_capacity_time_mean,total_gpu_busy_capacity_time_std,total_task_busy_time_mean,total_task_busy_time_std,group_size_setting
0.6463650196998809,0.7303404245743615,0.11256577527581774,0.08184086707823938,0.4357238777798365,0.18032880469214177,0.002275910364145658,0.018684983865046554,0.0,0.0,173033.67814730518,133870.5528635693,210285.67470105083,162699.4446984549,162.34783268009005,117.01296317907126,1.0,0.0,FCFS,0.0,0.0,8.580882352941176,3.624985085281333,1506.731513125,464.69938200018277,0.0,0.0,2.8455882352941178,0.8213929745774072,463.175961890802,351.65284136663774,29643.261561011328,22505.781847464816,2699.267547481603,3142.934787624019,1307.2583166642842,1080.8855371822979,511.6458940908225,480.9785136699069,192.11094706729446,128.64249039628447,1
1.0208563948068747,0.9707327024088156,0.2146410163584272,0.1410846814663921,0.39585763582868017,0.20413092345326359,0.0,0.0,0.0,0.0,34476.69565756108,29286.114982037925,70037.56898536414,57429.780072584355,30.60977000827476,21.50583252899892,1.0,0.0,HEFT,0.0,0.0,8.580882352941176,3.624985085281333,3397.382046507368,1268.6471539513939,0.0,0.0,2.0808823529411766,0.8493522363856395,66.56807556663172,56.57216983961403,3195.2676271983228,2715.4641523014734,512.173118865027,553.557978986142,263.9605749817366,224.2634591772191,93.643188617017,85.48694212120388,39.26992351124334,22.586968767178035,1
0.4209726763115984,0.3429668190881408,0.09940799920867031,0.09309779970359411,0.23017999357544097,0.14944897367027693,0.0,0.0,0.0,0.0,66239.12730037041,45959.24214871797,102345.52088132937,70621.85678203989,47.16229881295559,29.097557564844923,1.0,0.0,MinEnergy,0.0,0.0,8.580882352941176,3.624985085281333,3769.8602917852636,1197.997636373942,0.0,0.0,3.264705882352941,1.1261288070045086,143.80968671359196,98.40436712175617,6957.386516351351,4820.641539665366,539.1002616894091,573.7581793655693,447.8248602186258,341.92709927149303,96.3040053787922,85.76806338898463,40.765227235486705,22.987835879459684,1
1.0209260820212618,0.970689155663723,0.21474842896524807,0.1411256074333974,0.39698578039350263,0.2039369423624684,0.0,0.0,0.0,0.0,34445.05575473791,29291.301531871613,70008.88563824474,57485.770578821015,30.540717306387887,21.40039603937203,1.0,0.0,PCEA-PPO,0.0,0.0,8.580882352941176,3.624985085281333,3398.495446118066,1272.141098475541,0.0,0.0,2.088235294117647,0.8615187362280476,66.75589009252862,57.07932237112726,3204.282724441374,2739.8074738141086,512.2814018269842,553.5840715752821,262.55677548049823,222.40956696877402,93.65197255427258,85.48962937084619,39.27736328041008,22.587052567976567,1
1.0336436591182616,0.9635596912650024,0.21448212344526757,0.14021273870840995,0.40804428259043357,0.20222345474189482,0.0,0.0,0.0,0.0,33452.37447990832,27975.72090849958,68951.02516774986,56335.89775100902,30.52448201227024,21.383223619921587,1.0,0.0,PCEA-AER,0.19852941176470587,0.43419724680719485,8.580882352941176,3.624985085281333,3314.2230580972323,1196.568017012068,0.0,0.0,2.088235294117647,0.8615187362280476,66.70718421017568,57.000127118624206,3306.334235684253,2891.648253944453,525.5776823984467,562.4991061142177,256.364595280803,221.37725300586322,96.73629844962251,88.95727084819154,40.859192302268546,24.174532694327326,1
0.48646435699689816,0.2647014305453138,0.09757438456224994,0.04692829539864801,0.2837516618121272,0.10460301776642367,0.024676388760349256,0.0324337320774051,0.0,0.0,875542.5402608574,459337.2813552138,1047551.0457035829,549626.9672557459,269.2835537653613,155.4104981938819,5.0,0.0,FCFS,0.0,0.0,42.96296296296296,10.272153950190098,5581.972343292101,1166.8842977571999,0.0,0.0,8.666666666666666,1.4142135623730951,2249.195635022748,1133.0115849989968,143948.52064145586,72512.7414399358,12456.448113466819,9376.718744969223,9087.245813716241,5028.851315896525,2358.3817874458787,1414.1358125120362,896.3255446841847,377.099783662668,5
0.6632149966667104,0.32409799662579025,0.15884639987344124,0.07086407897966698,0.28954561308765,0.07872260113592806,0.0,0.0,0.0,0.0,321741.2764360011,227468.97755719878,484057.08244785375,311804.9503004106,97.10059173618944,69.18349611351329,5.0,0.0,HEFT,0.0,0.0,42.96296296296296,10.272153950190098,9996.100777334166,1811.2065552129363,0.0008022549213613535,0.0007442158043904845,7.407407407407407,1.5696014889197845,706.4573373024717,503.51488058679683,38014.95845866442,27433.042585481784,4969.622248834556,3996.1076305971615,3432.272493227916,2489.0526687666265,935.0180875054949,588.9231320639084,346.13745420139514,159.25228900856453,5
0.3344524582027525,0.08582943300907711,0.08500640395055796,0.029872647678099443,0.18407377927111948,0.056874532122566504,0.0,0.0,0.0,0.0,597345.5111677406,308171.50469598506,758963.4396176612,387348.15887075296,149.45075713942933,83.57335242156388,5.0,0.0,MinEnergy,0.0,0.0,42.96296296296296,10.272153950190098,9771.656371297584,1272.8056142621729,0.00019355259603795537,0.0002336985588597733,9.296296296296296,1.6058876584206518,1343.439498441852,686.6463805308553,74174.77205364069,38148.259400446455,6104.662446699367,4002.330391935279,6340.518154817318,3262.799207311463,1244.1253416013385,760.660662574363,410.84595807804186,182.86036830467333,5
0.6884920093874372,0.2147373210693026,0.1679660127199672,0.04999948137712937,0.34195607407549256,0.12013572931674465,0.0,0.0,6.555555555555555,5.599823630379623,244824.52649141377,163850.21687518293,411597.1731250674,248466.81722379915,104.37991420188925,82.01367564776004,5.0,0.0,PCEA-PPO,0.0,0.0,42.96296296296296,10.272153950190098,8057.261394412461,1404.5001115578232,0.0005912896605303906,0.0015103657989950447,5.703703703703703,1.780861522988342,509.58188356490535,323.7330920776424,26643.990022965925,16991.820089736917,4476.578273904936,4304.766094980044,2392.128431584644,1675.8582755020257,822.6542928479387,589.8804023454163,305.34238285821203,141.48246787397517,5
0.7763264167905796,0.19883887257952088,0.18777135612943527,0.062249795230998176,0.38143930268635673,0.12814834948884937,0.0,0.0,0.0,0.0,235468.2637029182,152364.61173789113,397300.3126300282,233988.00369995632,101.9211811068907,81.2434122790242,5.0,0.0,PCEA-AER,5.777777777777778,3.446236093171294,42.96296296296296,10.272153950190098,7976.378694233372,1438.9361118438528,0.0006719431935044716,0.0009579320018159156,5.62962962962963,1.7245106261959726,492.8169827181325,308.01472627988977,25900.598092705815,16240.639304411046,5155.171222873176,5649.027880770504,2333.427289620251,1621.2133767379453,935.0322403604938,738.2083301634088,349.9544111642385,184.00668824499564,5
