active_server_utilization,avg_cpu_utilization,avg_gpu_utilization,deadline_miss_rate,defer_count,energy_idle_active,group_energy_active_total,group_id,group_makespan,group_size,method,migration_count,num_tasks,peak_active_power,power_envelope_violation,server_activated_count,total_active_window_time,total_cpu_active_capacity_time,total_cpu_busy_capacity_time,total_gpu_active_capacity_time,total_gpu_busy_capacity_time,total_task_busy_time,workflow_ids
0.7786805345895975,0.2045472248686201,0.1847035899063669,0.0,0.0,65977.59995755732,109855.1777462819,group_000,16.47792206732201,5.0,HEFT,0.0,41.0,10513.867052286803,0.0002043998953766,9.0,148.30129860589807,8173.049345391717,1671.7745623141684,725.0285709621684,133.9153798413956,115.47933447877224,"job_10302,job_11225,job_11820,job_1195,job_11957"
0.6094737830644021,0.1519811143074072,0.3546670301243218,0.0,0.0,248160.2550665931,339479.23289144307,group_001,126.65370571849716,5.0,HEFT,0.0,47.0,5629.055166666667,0.0,4.0,500.3908175024855,25945.634445671207,3943.246434465757,2483.282071397918,880.7382772236738,304.9750845539287,"job_1196,job_12030,job_12669,job_12674,job_12675"
0.754970474762873,0.203304868997755,0.2298694996270127,0.0,0.0,60714.36319301277,106221.87593137476,group_002,21.83969899029236,5.0,HEFT,0.0,47.0,8214.344647602777,3.594753769912346e-06,6.0,131.03819394175414,6639.268493048877,1349.795611220224,524.1527757670166,120.48673629367391,98.92996749227557,"job_12680,job_12681,job_12683,job_12686,job_12688"
1.9459082438290984,0.413239284288268,0.3729812379623872,0.0,0.0,15790.13653385148,31844.627501995303,group_003,6.690735819428593,5.0,HEFT,0.0,34.0,7231.358778079861,0.0,5.0,33.45367909714297,1605.7765966628622,663.569971531812,107.05177311085748,39.928302860956215,65.09778994154368,"job_12690,job_12692,job_12882,job_12887,job_12890"
0.6529521124051794,0.1558373589940358,0.3745453071675407,0.0,0.0,191003.95792876385,344067.41784794134,group_004,59.68873685273869,5.0,HEFT,0.0,36.0,10055.320002994446,0.0004422034183199,7.0,417.8211579691709,21965.45516180784,3423.0385215180463,1910.039579287638,715.3963609264487,272.81720770354826,"job_12951,job_175,job_1822,job_3081,job_3083"
1.1651451240877762,0.2679913259467716,0.2616235416699968,0.0,0.0,64826.89678232896,113249.67029309516,group_005,16.284583263131356,5.0,HEFT,0.0,57.0,11722.71551214861,0.0007634961777092,9.0,145.58058633888797,8014.390864638322,2147.7872344701173,712.5990114606027,186.43267716886152,169.62251033459484,"job_3086,job_3093,job_3094,job_3099,job_3104"
0.8094823309428484,0.2215753471624605,0.1151167450595815,0.0,0.0,69295.11310520794,93790.3799393416,group_006,17.306471804497484,5.0,HEFT,0.0,69.0,10170.247122842187,0.0001163978207405,9.0,155.75824624047732,8584.01001503075,1902.0049991264764,761.4847593978892,87.65964691436359,126.08354823031172,"job_3105,job_3120,job_3127,job_3129,job_3135"
0.8552064639288547,0.1613127845170327,0.1870000571666095,0.0,0.0,104340.31807458618,166181.404746581,group_007,26.059020498148403,5.0,HEFT,0.0,65.0,11344.598339667666,0.0004463151675898,9.0,234.5311844833357,12925.274167081609,2085.0119665380053,1146.5969019185295,214.4136862058224,200.57258496303936,"job_3137,job_3147,job_3149,job_3153,job_3315"
0.5889301654635148,0.151361675472233,0.3895373134321501,0.0,0.0,329212.43903701793,538120.3708527936,group_008,118.07491459518036,5.0,HEFT,0.0,32.0,8468.730819444445,9.471800641581998e-05,6.0,705.1225308342083,37571.047439297785,5686.816689658862,3515.63178396042,1369.4697601406192,415.2679287562426,"job_3779,job_3782,job_4796,job_4798,job_4809"
0.3783533588292653,0.0843202163537086,0.2374551163041591,0.0,0.0,669289.6756571076,860676.767931696,group_009,153.60730387086392,5.0,HEFT,0.0,44.0,11786.236137586417,0.0008616135820774,10.0,1524.2026658049156,85283.77191903429,7191.146099673314,7311.085083443568,1736.054558798695,576.6871981438101,"job_4811,job_4813,job_4816,job_4819,job_4821"
