method,active_server_utilization_mean,active_server_utilization_std,avg_cpu_utilization_mean,avg_cpu_utilization_std,avg_gpu_utilization_mean,avg_gpu_utilization_std,deadline_miss_rate_mean,deadline_miss_rate_std,defer_count_mean,defer_count_std,energy_idle_active_mean,energy_idle_active_std,group_energy_active_total_mean,group_energy_active_total_std,group_makespan_mean,group_makespan_std,group_size_mean,group_size_std,migration_count_mean,migration_count_std,num_tasks_mean,num_tasks_std,peak_active_power_mean,peak_active_power_std,power_envelope_violation_mean,power_envelope_violation_std,server_activated_count_mean,server_activated_count_std,total_active_window_time_mean,total_active_window_time_std,total_cpu_active_capacity_time_mean,total_cpu_active_capacity_time_std,total_cpu_busy_capacity_time_mean,total_cpu_busy_capacity_time_std,total_gpu_active_capacity_time_mean,total_gpu_active_capacity_time_std,total_gpu_busy_capacity_time_mean,total_gpu_busy_capacity_time_std,total_task_busy_time_mean,total_task_busy_time_std
HEFT,0.6632149966667105,0.3240979966257903,0.1588463998734412,0.070864078979667,0.2895456130876499,0.07872260113592806,0.0,0.0,0.0,0.0,321741.2764360012,227468.97755719876,484057.08244785375,311804.9503004107,97.10059173618944,69.18349611351329,5.0,0.0,0.0,0.0,42.96296296296296,10.272153950190097,9996.100777334168,1811.2065552129363,0.0008022549213613265,0.0007442158043904745,7.407407407407407,1.569601488919785,706.4573373024716,503.5148805867969,38014.95845866441,27433.042585481784,4969.622248834557,3996.107630597162,3432.2724932279166,2489.052668766627,935.0180875054951,588.9231320639084,346.1374542013951,159.25228900856453
HEFT-AER,0.8153835948171896,0.28367531210657254,0.1879787422522824,0.07322861569911063,0.344775442607273,0.08924084419785666,0.0,0.0,0.0,0.0,277061.83119001787,184221.54438934237,432755.60635902913,265189.6406209903,95.81177921105756,69.31656549477509,5.0,0.0,7.925925925925926,4.650176626879854,42.96296296296296,10.272153950190097,8548.674674499947,1680.9286916566566,0.0002834947538627688,0.00038122445366410454,6.814814814814815,1.5162584807747204,612.2835898570441,411.7795518269913,34361.614094268385,23776.831261918847,5875.151146044418,5300.355994775018,3162.6728907795036,2202.8033537764104,1108.4784953887086,791.3334649112978,418.75911530895365,226.89905661973324
PCEA-PPO,0.6884920093874372,0.2147373210693026,0.16796601271996714,0.049999481377129375,0.34195607407549256,0.12013572931674467,0.0,0.0,6.555555555555555,5.599823630379623,244824.52649141377,163850.21687518293,411597.17312506743,248466.81722379912,104.37991420188925,82.01367564776004,5.0,0.0,0.0,0.0,42.96296296296296,10.272153950190097,8057.2613944124605,1404.5001115578232,0.0005912896605303732,0.0015103657989950306,5.703703703703703,1.780861522988341,509.5818835649054,323.7330920776424,26643.990022965925,16991.820089736913,4476.578273904936,4304.766094980044,2392.128431584644,1675.8582755020254,822.6542928479386,589.8804023454164,305.34238285821203,141.48246787397517
PCEA-AER,0.7763264167905795,0.1988388725795209,0.18777135612943519,0.062249795230998176,0.3814393026863567,0.1281483494888494,0.0,0.0,0.0,0.0,235468.26370291816,152364.61173789113,397300.3126300282,233988.0036999563,101.9211811068907,81.2434122790242,5.0,0.0,5.777777777777778,3.4462360931712945,42.96296296296296,10.272153950190097,7976.378694233373,1438.936111843853,0.000671943193504442,0.0009579320018158926,5.62962962962963,1.7245106261959724,492.8169827181325,308.01472627988977,25900.59809270581,16240.639304411046,5155.171222873176,5649.027880770505,2333.427289620251,1621.213376737945,935.0322403604938,738.208330163409,349.95441116423854,184.00668824499564
