group_id,workflow_ids,group_size,num_tasks,pcea_inference_time_s,aer_time_s,total_time_s,runtime_per_task_s,runtime_per_group_s,runtime_per_migration_s,migration_count,candidates_evaluated,passes_done,constraint_guard_count,pcea_energy,aer_energy,energy_delta,pcea_idle_energy,aer_idle_energy,idle_energy_delta,pcea_makespan,aer_makespan,makespan_delta,pcea_deadline_miss_rate,aer_deadline_miss_rate,deadline_delta,pcea_peak_active_power,aer_peak_active_power,pcea_power_envelope_violation,aer_power_envelope_violation,pcea_server_activated_count,aer_server_activated_count,pcea_active_server_utilization,aer_active_server_utilization
group_000,"job_10302,job_11225,job_11820,job_1195,job_11957",5,41,1.597105000000738,197.1719071999978,198.76901219999854,4.848024687804842,198.76901219999854,39.43438143999956,5.0,133.0,1.0,0.0,123032.44699339553,122513.80594859991,-518.641044795615,79091.32519932411,78608.57041682569,-482.75478249842126,20.114782604100743,20.114782604100743,0.0,0.0,0.0,0.0,10427.950880286806,10403.950880286806,0.0015724489387642113,0.0015391104056416117,9,9,0.6734183846220976,0.6714098533903037
group_001,"job_1196,job_12030,job_12669,job_12674,job_12675",5,47,0.7493709000009403,97.97779819999778,98.72716909999872,2.1005780659574196,98.72716909999872,13.996828314285397,7.0,144.0,1.0,0.0,355048.548869458,342986.817012969,-12061.73185648903,252283.05564883232,251693.76703363078,-589.2886152015417,129.2096213032609,128.83628638005726,-0.37333492320362893,0.0,0.0,0.0,6826.1660833333335,5597.152944444445,0.0,0.0,4,4,0.45965796635201495,0.6018186619231287
group_002,"job_12680,job_12681,job_12683,job_12686,job_12688",5,47,1.1769439000017883,297.3220583000002,298.499002200002,6.351042600000042,298.499002200002,33.035784255555576,9.0,148.0,1.0,0.0,114339.21502502298,114129.13509658119,-210.07992844178807,68314.57844163451,68314.57844163451,0.0,21.83969899029236,21.83969899029236,0.0,0.0,0.0,0.0,8486.3585934375,8486.3585934375,0.00018524609470599144,0.00010805324046858513,7,7,0.6247295165490655,0.6482797695155235
group_003,"job_12690,job_12692,job_12882,job_12887,job_12890",5,34,8.302664300001197,142.58477429999766,150.88743859999886,4.437865841176437,150.88743859999886,47.52825809999922,3.0,108.0,1.0,0.0,47271.63902947466,46647.68119238729,-623.9578370873714,31993.719628159794,31515.606492212748,-478.1131359470455,11.653888838232259,11.481905695805265,-0.17198314242699375,0.0,0.0,0.0,7065.579236413195,7047.8767364131945,0.0,0.0,6,6,1.0144390046294516,1.0531961438216173
group_004,"job_12951,job_175,job_1822,job_3081,job_3083",5,36,1.1488785000001371,120.76138329999958,121.91026179999972,3.386396161111103,121.91026179999972,60.38069164999979,2.0,113.0,1.0,0.0,413663.2965222025,385229.6963237096,-28433.600198492873,255450.4766682608,226813.0099751053,-28637.466693155497,71.59366673288876,71.59366673288876,0.0,0.0,0.0,0.0,10825.207499963888,9647.629639086112,0.007485273145507379,0.00269056721853137,8,7,0.5049085638418823,0.5774315691673445
group_005,"job_3086,job_3093,job_3094,job_3099,job_3104",5,57,2.1480064999996102,1544.754222200001,1546.9022287000007,27.138635591228084,1546.9022287000007,220.67917460000015,7.0,180.0,1.0,0.0,174440.34334928426,174320.40978858765,-119.93356069660513,131310.60245155735,131310.60245155735,0.0,33.297044738626646,33.297044738626646,0.0,0.0,0.0,0.0,10718.8842721467,10324.009619368924,0.0027918626908666148,0.0026752833144425988,9,9,0.7374977745571777,0.739620362543602
group_006,"job_3105,job_3120,job_3127,job_3129,job_3135",5,69,2.547634200000175,496.44395559999975,498.99158979999993,7.231762171014492,498.99158979999993,99.28879111999996,5.0,222.0,1.0,0.0,94944.10784895463,94503.17008739844,-440.9377615561971,68973.68257544888,68596.43362790768,-377.2489475412003,15.71870614754988,15.71870614754988,0.0,0.0,0.0,0.0,10421.83358155625,10397.83358155625,0.0014719581004641034,0.0014147517350191236,10,10,0.7581884861646045,0.7674934821388804
group_007,"job_3137,job_3147,job_3149,job_3153,job_3315",5,65,2.787811899997905,561.2466735000016,564.0344853999995,8.677453621538454,564.0344853999995,35.0779170937501,16.0,205.0,1.0,0.0,227476.17358218995,227076.85843566802,-399.3151465219271,170597.91321903153,170597.9132190315,-2.9103830456733704e-11,43.38705829578624,43.38705829578624,0.0,0.0,0.0,0.0,10916.474799118749,10916.474799118749,0.0013577406482272784,0.0012817376299106668,9,9,0.8445063121762783,0.8632456038127908
group_008,"job_3779,job_3782,job_4796,job_4798,job_4809",5,32,0.9425651999990805,44.505637999998726,45.448203199997806,1.4202563499999314,45.448203199997806,5.563204749999841,8.0,100.0,1.0,0.0,495990.15434772195,482395.07402263157,-13595.080325090385,268191.5458160531,260766.47450718022,-7425.071308872895,117.03164682884581,113.39747594156152,-3.6341708872842844,0.0,0.0,0.0,7261.784527544445,7632.586503336285,0.0,8.659988525262919e-06,5,5,0.5155529784174188,0.6502471782098499
group_009,"job_4811,job_4813,job_4816,job_4819,job_4821",5,44,0.6962447999976575,60.33310580000034,61.029350599998,1.3870306954545,61.029350599998,7.541638225000042,8.0,136.0,1.0,0.0,503251.29771551484,472852.1708838036,-30399.12683171121,283953.9302175813,266282.20941647346,-17671.72080110782,120.11701186558317,112.14050498642008,-7.976506879163082,0.0,0.0,0.0,7462.622666666667,8219.339570936112,5.879336539707022e-07,8.652217535311176e-05,5,5,0.5481505095792965,0.718816643544037
group_010,"job_4823,job_4825,job_4827,job_4829,job_4831",5,43,0.8504458999996132,73.31248559999949,74.1629314999991,1.7247193372092815,74.1629314999991,18.328121399999873,4.0,133.0,1.0,0.0,398522.45838699135,395060.86831242405,-3461.590074567299,168481.66088527875,165172.01687220723,-3309.64401307152,85.96003106391773,84.27143717969753,-1.6885938842201966,0.0,0.0,0.0,7291.390515380555,7294.117860877777,0.0,0.0,4,4,0.7158423935884018,0.7276113004287134
