group_id,group_size,num_tasks,workflow_ids
group_000,1,5,job_10302
group_001,1,5,job_11225
group_002,1,7,job_11820
group_003,1,9,job_1195
group_004,1,15,job_11957
group_005,1,21,job_1196
group_006,1,6,job_12030
group_007,1,9,job_12669
group_008,1,5,job_12674
group_009,1,6,job_12675
group_010,1,5,job_12680
group_011,1,8,job_12681
group_012,1,5,job_12683
group_013,1,23,job_12686
group_014,1,6,job_12688
group_015,1,9,job_12690
group_016,1,10,job_12692
group_017,1,5,job_12882
group_018,1,5,job_12887
group_019,1,5,job_12890
group_020,1,6,job_12951
group_021,1,6,job_175
group_022,1,5,job_1822
group_023,1,8,job_3081
group_024,1,11,job_3083
group_025,1,15,job_3086
group_026,1,8,job_3093
group_027,1,11,job_3094
group_028,1,15,job_3099
group_029,1,8,job_3104
group_030,1,11,job_3105
group_031,1,15,job_3120
group_032,1,15,job_3127
group_033,1,23,job_3129
group_034,1,5,job_3135
group_035,1,11,job_3137
group_036,1,23,job_3147
group_037,1,14,job_3149
group_038,1,11,job_3153
group_039,1,6,job_3315
group_040,1,5,job_3779
group_041,1,5,job_3782
group_042,1,7,job_4796
group_043,1,8,job_4798
group_044,1,7,job_4809
group_045,1,7,job_4811
group_046,1,8,job_4813
group_047,1,8,job_4816
group_048,1,14,job_4819
group_049,1,7,job_4821
group_050,1,6,job_4823
group_051,1,7,job_4825
group_052,1,7,job_4827
group_053,1,8,job_4829
group_054,1,15,job_4831
group_055,1,7,job_4833
group_056,1,8,job_4835
group_057,1,7,job_4838
group_058,1,6,job_4840
group_059,1,7,job_4842
group_060,1,8,job_4844
group_061,1,6,job_4846
group_062,1,8,job_4848
group_063,1,7,job_4852
group_064,1,6,job_4856
group_065,1,6,job_4859
group_066,1,7,job_4861
group_067,1,7,job_4863
group_068,1,7,job_4865
group_069,1,7,job_4867
group_070,1,7,job_4880
group_071,1,7,job_4882
group_072,1,7,job_4884
group_073,1,7,job_4886
group_074,1,7,job_4888
group_075,1,7,job_4891
group_076,1,8,job_4895
group_077,1,6,job_4898
group_078,1,7,job_4900
group_079,1,7,job_4903
group_080,1,8,job_4905
group_081,1,8,job_4909
group_082,1,7,job_4912
group_083,1,7,job_4919
group_084,1,7,job_4921
group_085,1,7,job_4927
group_086,1,8,job_4929
group_087,1,15,job_4932
group_088,1,8,job_4935
group_089,1,7,job_4937
group_090,1,7,job_4941
group_091,1,6,job_4945
group_092,1,7,job_4947
group_093,1,7,job_4949
group_094,1,15,job_4952
group_095,1,8,job_4954
group_096,1,8,job_4960
group_097,1,7,job_4962
group_098,1,6,job_4964
group_099,1,8,job_4968
group_100,1,7,job_4971
group_101,1,8,job_4973
group_102,1,8,job_4976
group_103,1,6,job_4982
group_104,1,8,job_4987
group_105,1,7,job_4991
group_106,1,5,job_506
group_107,1,7,job_6159
group_108,1,8,job_6262
group_109,1,8,job_674
group_110,1,6,job_678
group_111,1,5,job_680
group_112,1,7,job_683
group_113,1,5,job_6837
group_114,1,5,job_6842
group_115,1,11,job_9021
group_116,1,9,job_9025
group_117,1,9,job_9028
group_118,1,12,job_9031
group_119,1,16,job_9034
group_120,1,14,job_9038
group_121,1,11,job_9042
group_122,1,9,job_9045
group_123,1,14,job_9048
group_124,1,10,job_9051
group_125,1,11,job_9054
group_126,1,11,job_9057
group_127,1,8,job_9061
group_128,1,11,job_9065
group_129,1,8,job_9068
group_130,1,11,job_9071
group_131,1,11,job_9074
group_132,1,10,job_9080
group_133,1,7,job_9090
group_134,1,7,job_9118
group_135,1,7,job_9119
