active_server_utilization_mean,active_server_utilization_std,avg_cpu_utilization_mean,avg_cpu_utilization_std,avg_gpu_utilization_mean,avg_gpu_utilization_std,deadline_miss_rate_mean,deadline_miss_rate_std,defer_count_mean,defer_count_std,energy_idle_active_mean,energy_idle_active_std,group_energy_active_total_mean,group_energy_active_total_std,group_makespan_mean,group_makespan_std,group_size_mean,group_size_std,idle_timeout_s,idle_timeout_s_mean,idle_timeout_s_std,method,migration_count_mean,migration_count_std,num_tasks_mean,num_tasks_std,peak_active_power_mean,peak_active_power_std,power_envelope_violation_mean,power_envelope_violation_std,server_activated_count_mean,server_activated_count_std,total_active_window_time_mean,total_active_window_time_std,total_cpu_active_capacity_time_mean,total_cpu_active_capacity_time_std,total_cpu_busy_capacity_time_mean,total_cpu_busy_capacity_time_std,total_gpu_active_capacity_time_mean,total_gpu_active_capacity_time_std,total_gpu_busy_capacity_time_mean,total_gpu_busy_capacity_time_std,total_task_busy_time_mean,total_task_busy_time_std
1.6542629445631714,0.48361209782686926,0.3921572749199375,0.14315039216568562,0.6391642017133916,0.10013280881859996,0.0,0.0,0.0,0.0,129915.42642187842,79830.12264529783,292231.232433731,175442.39210296993,97.10059173618944,69.18349611351329,5.0,0.0,0.0,0.0,0.0,HEFT,0.0,0.0,42.96296296296296,10.272153950190098,9968.138370920895,1832.1347274306809,0.0006929555368513507,0.0006656671610637924,7.407407407407407,1.5696014889197845,244.1609223093897,143.911958481213,13868.395523545923,8467.1687648548,4969.622248834556,3996.1076305971615,1434.9852831096687,916.1831389091334,935.0180875054949,588.9231320639084,346.13745420139514,159.25228900856453
1.5645046119233865,0.4976337057977057,0.3691088276341003,0.11696824961495968,0.6383973839506814,0.12741946345711927,0.0,0.0,6.111111111111111,5.384018417593652,126186.93168638155,78968.1655889679,292973.89767039905,172376.5756403215,103.67455734404705,81.86630895904055,5.0,0.0,0.0,0.0,0.0,PCEA-PPO,0.0,0.0,42.96296296296296,10.272153950190098,8046.860754037493,1409.8944346340286,0.000554528598070784,0.001478458786444607,5.703703703703703,1.780861522988342,219.2046041311525,123.89837148225989,12101.763382816034,7242.084016344077,4487.408422884424,4314.1949281280295,1234.7872883454104,841.0367339443991,825.353589743416,594.9762011110498,305.80278388275224,143.09673611069496
1.7807173109136583,0.5111188524234455,0.41965722528185845,0.1455409291299675,0.7099378527153847,0.14467350601188272,0.0,0.0,0.0,0.0,106371.68745987145,62352.99035799572,269898.8829653876,154695.28223768793,101.10207552441854,80.89311519943402,5.0,0.0,0.0,0.0,0.0,PCEA-AER,8.25925925925926,3.707775539498468,42.96296296296296,10.272153950190098,7567.461839163019,1443.3601862712294,0.0002770498220752963,0.00040661956318843197,6.0,1.4907119849998598,206.02007877754775,115.9338941210171,11502.379050412435,6915.268036309058,5046.148583782429,5478.627394888572,1189.6461296596383,814.4388702709057,912.1659433314762,720.8083317214455,337.4196502885891,176.4177151209023
0.7522060473040265,0.2745716862884829,0.1836343229317643,0.07684157665006278,0.33010809963033194,0.08054938452812158,0.0,0.0,0.0,0.0,260222.56243245176,153223.14007909986,422538.36844430433,241918.25843822947,97.10059173618944,69.18349611351329,5.0,0.0,60.0,60.0,0.0,HEFT,0.0,0.0,42.96296296296296,10.272153950190098,9996.100777334166,1811.2065552129363,0.0008022549213613535,0.0007442158043904845,7.407407407407407,1.5696014889197845,534.0744073900963,301.12237832824275,29154.997985048965,16906.80327805506,4969.622248834556,3996.1076305971615,2744.5829702319493,1659.6068662412033,935.0180875054949,588.9231320639084,346.13745420139514,159.25228900856453
0.7532447656157744,0.1829113177529779,0.18716170775964627,0.07154976891737361,0.37088898618167226,0.12656012378434928,0.0,0.0,6.555555555555555,5.599823630379623,221449.4032645687,121730.23735780841,388222.0498982223,210062.6607604513,104.37991420188925,82.01367564776004,5.0,0.0,60.0,60.0,0.0,PCEA-PPO,0.0,0.0,42.96296296296296,10.272153950190098,8057.261394412461,1404.5001115578232,0.0005912896605303906,0.0015103657989950447,5.703703703703703,1.780861522988342,426.33216021587566,198.8771923189571,22606.720433216426,10936.125155616624,4476.578273904936,4304.766094980044,2082.160376087147,1183.0997172082355,822.6542928479387,589.8804023454163,305.34238285821203,141.48246787397517
0.8827951062764158,0.18143263313996794,0.2168995497512004,0.10282874519065932,0.4209954717215568,0.14646988823682316,0.0,0.0,0.0,0.0,198602.46808869287,96715.04133719727,359906.8750502966,183429.9125970777,102.72542440607761,81.46171117710475,5.0,0.0,60.0,60.0,0.0,PCEA-AER,6.7407407407407405,3.6269831621763235,42.96296296296296,10.272153950190098,7491.58183933283,1420.0695263351417,0.0002871931229507749,0.0005450269412183166,5.592592592592593,1.6613082586670966,412.115458370403,193.56839469189427,22204.259561385534,10969.043559675207,5295.464673142079,5739.527750620281,2078.8290845273114,1207.2624676415255,958.7018962393472,748.9333031048459,359.059709637877,186.9989737179716
0.6795328542364951,0.3095236752185902,0.1646215805184,0.07308051739743862,0.29739844971052387,0.074049703160835,0.0,0.0,0.0,0.0,304264.9534210773,200583.33436569182,466580.7594329299,285035.33942775254,97.10059173618944,69.18349611351329,5.0,0.0,120.0,120.0,0.0,HEFT,0.0,0.0,42.96296296296296,10.272153950190098,9996.100777334166,1811.2065552129363,0.0008022549213613535,0.0007442158043904845,7.407407407407407,1.5696014889197845,650.6689773484416,423.05933832653994,35174.32910434585,23351.22802540668,4969.622248834556,3996.1076305971615,3220.16546066967,2175.093805784237,935.0180875054949,588.9231320639084,346.13745420139514,159.25228900856453
0.7039987964719646,0.20341300142244015,0.17359074868553623,0.05910232105828238,0.34964035306039865,0.12175009287648654,0.0,0.0,6.555555555555555,5.599823630379623,233123.86330642062,135156.95691091733,399896.50994007423,223182.14790467487,104.37991420188925,82.01367564776004,5.0,0.0,120.0,120.0,0.0,PCEA-PPO,0.0,0.0,42.96296296296296,10.272153950190098,8057.261394412461,1404.5001115578232,0.0005912896605303906,0.0015103657989950447,5.703703703703703,1.780861522988342,477.9450138049558,257.263592121516,25125.420274488348,13812.368501266768,4476.578273904936,4304.766094980044,2275.318103766524,1424.696835907541,822.6542928479387,589.8804023454163,305.34238285821203,141.48246787397517
0.827956338042277,0.1912189667657461,0.20367195380365266,0.08857887187257979,0.40340952320154205,0.13838552867316264,0.0,0.0,0.0,0.0,218947.87727372674,120916.0824020104,380332.1479783636,204888.2221636633,102.30336590357864,81.75341927364374,5.0,0.0,120.0,120.0,0.0,PCEA-AER,6.111111111111111,3.4995590551163605,42.96296296296296,10.272153950190098,7756.40112321956,1298.5775790551652,0.00037158788391240116,0.0006136405294670528,5.592592592592593,1.7053132493661243,451.9098232539259,234.91697575477193,24053.36842573868,12880.338593547112,5276.374138056101,5715.939128865475,2178.493485263765,1300.7673992903524,950.1086389611742,739.5463706574748,358.16011184255615,185.6696363979926
0.6632149966667104,0.32409799662579025,0.15884639987344124,0.07086407897966698,0.28954561308765,0.07872260113592806,0.0,0.0,0.0,0.0,321741.2764360011,227468.97755719878,484057.08244785375,311804.9503004106,97.10059173618944,69.18349611351329,5.0,0.0,300.0,300.0,0.0,HEFT,0.0,0.0,42.96296296296296,10.272153950190098,9996.100777334166,1811.2065552129363,0.0008022549213613535,0.0007442158043904845,7.407407407407407,1.5696014889197845,706.4573373024717,503.51488058679683,38014.95845866442,27433.042585481784,4969.622248834556,3996.1076305971615,3432.272493227916,2489.0526687666265,935.0180875054949,588.9231320639084,346.13745420139514,159.25228900856453
